Date,day,tweet_count_islam,tweet_count_blm,tweet_count_all
2017-11-21,Tuesday,3,3,970
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-22,Wednesday,1,7,857
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
2017-11-23,Thursday,0,2,476
